underlying,trades,wins,win_rate_%,total_pnl_after_costs,avg_pnl,avg_hold_minutes,partial_exits
BANKNIFTY,40105,36977,92.2,230099506.85,5737.43,0.0,0
NIFTY,16000,14835,92.7,38571905.05,2410.74,0.0,0
