entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,max_price,partial_exit
2025-08-19,10:00:36,2025-08-19,10:00:38,24900.0,CE,194.5,2100.0,1900.50,977.12,0,contract_change,194.50,False
2025-08-19,10:01:24,2025-08-19,10:01:25,24900.0,CE,194.95,2290.0,2090.05,1072.10,0,contract_change,194.95,False
2025-08-19,10:01:27,2025-08-19,10:01:28,24900.0,CE,195.55,2350.0,2149.45,1099.18,0,contract_change,195.55,False
2025-08-19,10:01:30,2025-08-19,10:01:31,24900.0,CE,194.6,2350.0,2150.40,1105.04,0,contract_change,194.60,False
2025-08-19,10:03:14,2025-08-19,10:03:17,24900.0,CE,190.25,2350.0,2154.75,1132.59,0,contract_change,190.25,False
2025-08-19,10:03:53,2025-08-19,10:03:54,24900.0,CE,188.2,2350.0,2156.80,1146.01,0,contract_change,188.20,False
2025-08-19,10:04:07,2025-08-19,10:04:08,24900.0,CE,188.3,2350.0,2156.70,1145.35,0,contract_change,188.30,False
2025-08-19,10:04:12,2025-08-19,10:04:13,24900.0,CE,187.5,2350.0,2157.50,1150.67,0,contract_change,187.50,False
2025-08-19,10:04:15,2025-08-19,10:04:16,24900.0,CE,186.8,2350.0,2158.20,1155.35,0,contract_change,186.80,False
2025-08-19,10:04:20,2025-08-19,10:04:21,24900.0,CE,186.1,2350.0,2158.90,1160.08,0,contract_change,186.10,False
2025-08-19,10:04:23,2025-08-19,10:04:26,24900.0,CE,186.5,2042.45,1850.95,992.47,0,contract_change,186.50,False
2025-08-19,10:04:44,2025-08-19,10:04:45,24900.0,PE,135.5,2290.0,2149.50,1586.35,0,contract_change,135.50,False
2025-08-19,10:06:05,2025-08-19,10:06:06,24900.0,CE,188.6,2350.0,2156.40,1143.37,0,contract_change,188.60,False
2025-08-19,10:06:51,2025-08-19,10:06:52,24900.0,PE,135.55,2042.45,1901.90,1403.10,0,contract_change,135.55,False
2025-08-19,10:06:57,2025-08-19,10:06:58,24900.0,PE,135.3,2063.0,1922.70,1421.06,0,contract_change,135.30,False
2025-08-19,10:07:03,2025-08-19,10:07:04,24900.0,CE,188.8,2350.0,2156.20,1142.06,0,contract_change,188.80,False
2025-08-19,10:07:08,2025-08-19,10:07:09,24900.0,CE,187.5,2143.3,1950.80,1040.43,0,contract_change,187.50,False
2025-08-19,10:07:16,2025-08-19,10:07:17,24900.0,PE,135.8,2342.45,2201.65,1621.24,0,contract_change,135.80,False
2025-08-19,10:08:16,2025-08-19,10:08:17,24900.0,PE,136.8,2350.0,2208.20,1614.18,0,contract_change,136.80,False
2025-08-19,10:09:14,2025-08-19,10:09:15,24900.0,CE,188.9,2350.0,2156.10,1141.40,0,contract_change,188.90,False
2025-08-19,10:09:32,2025-08-19,10:09:36,24900.0,CE,188.0,2350.0,2157.00,1147.34,0,contract_change,188.00,False
2025-08-19,10:09:53,2025-08-19,10:09:54,24900.0,CE,189.25,2350.0,2155.75,1139.10,0,contract_change,189.25,False
2025-08-19,10:10:12,2025-08-19,10:10:14,24900.0,CE,188.8,2350.0,2156.20,1142.06,0,contract_change,188.80,False
2025-08-19,10:10:48,2025-08-19,10:10:49,24900.0,CE,190.05,2042.45,1847.40,972.06,0,contract_change,190.05,False
2025-08-19,10:11:24,2025-08-19,10:11:25,24900.0,CE,193.7,2042.45,1843.75,951.86,0,contract_change,193.70,False
2025-08-19,10:11:28,2025-08-19,10:11:29,24900.0,CE,192.5,2350.0,2152.50,1118.18,0,contract_change,192.50,False
2025-08-19,10:11:48,2025-08-19,10:11:49,24900.0,CE,193.55,2350.0,2151.45,1111.57,0,contract_change,193.55,False
2025-08-19,10:12:07,2025-08-19,10:12:08,24900.0,PE,132.55,2042.45,1904.90,1437.12,0,contract_change,132.55,False
2025-08-19,10:12:10,2025-08-19,10:12:11,24900.0,CE,193.2,2290.0,2091.80,1082.71,0,contract_change,193.20,False
2025-08-19,10:12:16,2025-08-19,10:12:17,24900.0,CE,194.1,2290.0,2090.90,1077.23,0,contract_change,194.10,False
2025-08-19,10:13:02,2025-08-19,10:13:03,24900.0,PE,128.9,2350.0,2216.10,1719.24,0,contract_change,128.90,False
2025-08-19,10:13:13,2025-08-19,10:13:14,24900.0,CE,200.9,2350.0,2144.10,1067.25,0,contract_change,200.90,False
2025-08-19,10:13:57,2025-08-19,10:13:58,24900.0,CE,201.95,2342.45,2135.50,1057.44,0,contract_change,201.95,False
2025-08-19,10:14:05,2025-08-19,10:14:06,24900.0,CE,202.5,2350.0,2142.50,1058.02,0,contract_change,202.50,False
2025-08-19,10:14:24,2025-08-19,10:14:26,24900.0,CE,200.4,2290.0,2084.60,1040.22,0,contract_change,200.40,False
2025-08-19,10:14:32,2025-08-19,10:14:33,24900.0,CE,199.35,2350.0,2145.65,1076.32,0,contract_change,199.35,False
2025-08-19,10:14:38,2025-08-19,10:14:39,24900.0,PE,127.0,2342.45,2210.45,1740.51,0,contract_change,127.00,False
2025-08-19,10:15:03,2025-08-19,10:15:04,24900.0,CE,201.0,2350.0,2144.00,1066.67,0,contract_change,201.00,False
2025-08-19,10:15:09,2025-08-19,10:15:10,24900.0,PE,125.75,2350.0,2219.25,1764.81,0,contract_change,125.75,False
2025-08-19,10:15:16,2025-08-19,10:15:17,24900.0,CE,202.25,2350.0,2142.75,1059.46,0,contract_change,202.25,False
2025-08-19,10:15:30,2025-08-19,10:15:31,24900.0,PE,127.2,2350.0,2217.80,1743.55,0,contract_change,127.20,False
2025-08-19,10:15:41,2025-08-19,10:15:42,24900.0,CE,196.5,2182.4,1980.90,1008.09,0,contract_change,196.50,False
2025-08-19,10:15:56,2025-08-19,10:15:57,24900.0,PE,127.6,2242.9,2110.30,1653.84,0,contract_change,127.60,False
2025-08-19,10:16:00,2025-08-19,10:16:02,24900.0,PE,127.55,2350.0,2217.45,1738.49,0,contract_change,127.55,False
2025-08-19,10:16:07,2025-08-19,10:16:08,24900.0,PE,127.6,2350.0,2217.40,1737.77,0,contract_change,127.60,False
2025-08-19,10:16:18,2025-08-19,10:16:19,24900.0,CE,197.65,2350.0,2147.35,1086.44,0,contract_change,197.65,False
2025-08-19,10:16:21,2025-08-19,10:16:22,24900.0,CE,197.2,2350.0,2147.80,1089.15,0,contract_change,197.20,False
2025-08-19,10:16:24,2025-08-19,10:16:25,24900.0,CE,196.85,2350.0,2148.15,1091.26,0,contract_change,196.85,False
2025-08-19,10:16:42,2025-08-19,10:16:44,24900.0,CE,195.5,2290.0,2089.50,1068.80,0,contract_change,195.50,False
2025-08-19,10:16:46,2025-08-19,10:16:47,24900.0,CE,194.5,2350.0,2150.50,1105.66,0,contract_change,194.50,False
2025-08-19,10:16:57,2025-08-19,10:17:01,24900.0,PE,128.5,2350.0,2216.50,1724.90,0,contract_change,128.50,False
2025-08-19,10:17:22,2025-08-19,10:17:25,24900.0,CE,196.55,2020.0,1818.45,925.18,0,contract_change,196.55,False
2025-08-19,10:17:29,2025-08-19,10:17:31,24900.0,CE,197.65,2020.0,1817.35,919.48,0,contract_change,197.65,False
2025-08-19,10:18:08,2025-08-19,10:18:09,24900.0,PE,126.55,2290.0,2158.45,1705.61,0,contract_change,126.55,False
2025-08-19,10:18:31,2025-08-19,10:18:33,24900.0,CE,199.5,2100.0,1895.50,950.13,0,contract_change,199.50,False
