underlying,trades,wins,win_rate_%,total_pnl_after_costs,avg_pnl,avg_hold_minutes
BANKNIFTY,162000,21636,13.4,-94217906.10,-581.59,0.0
NIFTY,64000,7860,12.3,14804361.05,231.32,0.0
