underlying,trades,wins,win_rate_%,total_pnl,avg_pnl,avg_hold_minutes
BANKNIFTY,5082,85,1.7,-4388.70,-0.86,0.1
NIFTY,1582,32,2.0,-345.10,-0.22,0.1
