entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,sq0_at_entry,sq0_peak
2025-11-19,11:22:49,2025-11-19,11:22:50,25950.0,CE,145.95,145.4,-0.55,-0.38,0,stop_loss,2325,12450
2025-11-19,11:28:36,2025-11-19,11:28:37,25950.0,CE,151.9,151.85,-0.05,-0.03,0,stop_loss,1575,29700
2025-11-19,11:30:34,2025-11-19,11:30:35,25950.0,CE,153.1,153.0,-0.10,-0.07,0,stop_loss,1350,6075
2025-11-19,11:32:21,2025-11-19,11:32:22,25950.0,CE,153.65,153.25,-0.40,-0.26,0,stop_loss,1800,9375
2025-11-19,11:40:22,2025-11-19,11:40:23,25950.0,CE,156.0,155.3,-0.70,-0.45,0,stop_loss,3825,21675
2025-11-19,11:45:11,2025-11-19,11:47:58,25950.0,CE,165.65,164.8,-0.85,-0.51,2,stop_loss,2250,65625
2025-11-19,11:51:25,2025-11-19,11:51:26,25950.0,CE,167.4,167.05,-0.35,-0.21,0,stop_loss,2325,18225
2025-11-19,11:53:33,2025-11-19,11:53:34,25950.0,CE,170.0,169.3,-0.70,-0.41,0,stop_loss,19800,56325
2025-11-19,11:54:08,2025-11-19,11:54:09,25950.0,CE,169.0,168.65,-0.35,-0.21,0,stop_loss,5250,19800
2025-11-19,11:54:16,2025-11-19,11:54:17,25950.0,CE,168.7,168.3,-0.40,-0.24,0,stop_loss,1725,5250
2025-11-19,12:03:55,2025-11-19,12:03:56,26000.0,CE,153.85,153.0,-0.85,-0.55,0,stop_loss,2325,25500
2025-11-19,12:04:19,2025-11-19,12:04:20,26000.0,CE,154.4,153.65,-0.75,-0.49,0,stop_loss,1950,2850
2025-11-19,12:08:45,2025-11-19,12:08:46,26000.0,CE,154.65,154.4,-0.25,-0.16,0,stop_loss,1950,21525
2025-11-19,12:09:20,2025-11-19,12:09:21,26000.0,CE,153.75,153.5,-0.25,-0.16,0,stop_loss,2100,4200
2025-11-19,12:14:51,2025-11-19,12:14:52,26000.0,CE,158.3,157.75,-0.55,-0.35,0,stop_loss,2925,14850
2025-11-19,12:17:41,2025-11-19,12:17:42,26000.0,CE,160.95,160.35,-0.60,-0.37,0,stop_loss,1875,78300
2025-11-19,12:17:56,2025-11-19,12:17:57,26000.0,CE,159.9,158.75,-1.15,-0.72,0,stop_loss,1575,3825
2025-11-19,12:18:39,2025-11-19,12:18:40,26000.0,CE,160.3,159.15,-1.15,-0.72,0,stop_loss,2475,4350
2025-11-19,12:20:47,2025-11-19,12:20:48,26000.0,CE,163.0,162.85,-0.15,-0.09,0,stop_loss,3225,15600
2025-11-19,12:22:44,2025-11-19,12:22:45,26000.0,CE,167.0,166.65,-0.35,-0.21,0,stop_loss,6675,11400
2025-11-19,12:23:30,2025-11-19,12:23:36,26000.0,CE,165.35,165.0,-0.35,-0.21,0,stop_loss,1875,6675
2025-11-19,12:24:45,2025-11-19,12:25:17,26000.0,CE,166.7,166.65,-0.05,-0.03,0,stop_loss,2100,7575
2025-11-19,12:26:43,2025-11-19,12:26:44,26000.0,CE,168.25,167.6,-0.65,-0.39,0,stop_loss,2025,3150
2025-11-19,12:28:42,2025-11-19,12:28:44,26000.0,CE,169.6,169.35,-0.25,-0.15,0,stop_loss,2250,8775
