entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,spot_at_entry,high_of_day
2025-09-23,14:06:34,2025-09-23,14:08:47,25300.0,CE,135.7,131.25,-4.45,-3.28,2,stop_loss,25246.65,25246.15
2025-09-23,14:08:48,2025-09-23,14:13:14,25300.0,CE,131.55,127.55,-4.00,-3.04,4,stop_loss,25248.25,25246.65
2025-11-25,14:06:27,2025-11-25,14:07:05,26100.0,CE,4.8,4.6,-0.20,-4.17,0,stop_loss,26025.50,26025.25
2025-11-25,14:07:06,2025-11-25,14:07:07,26100.0,CE,4.8,4.65,-0.15,-3.12,0,stop_loss,26026.75,26025.50
2025-11-25,14:07:09,2025-11-25,14:07:12,26100.0,CE,4.7,4.5,-0.20,-4.26,0,stop_loss,26026.90,26026.75
2025-11-25,14:07:36,2025-11-25,14:07:38,26100.0,CE,4.85,4.65,-0.20,-4.12,0,stop_loss,26026.95,26026.90
2025-11-25,14:17:47,2025-11-25,14:17:58,26100.0,CE,4.2,4.0,-0.20,-4.76,0,stop_loss,26027.25,26026.95
2025-11-25,14:18:04,2025-11-25,14:18:08,26100.0,CE,4.4,4.2,-0.20,-4.55,0,stop_loss,26027.55,26027.25
2025-11-25,14:18:09,2025-11-25,14:18:37,26100.0,CE,4.3,4.1,-0.20,-4.65,0,stop_loss,26027.70,26027.55
