underlying,trades,wins,win_rate_%,total_pnl,avg_pnl,avg_hold_minutes
BANKNIFTY,40085,9376,23.4,-29240.55,-0.73,0.1
NIFTY,16000,4168,26.1,-1215.05,-0.08,0.1
