underlying,trades,wins,win_rate_%,total_pnl,avg_pnl,avg_hold_minutes
BANKNIFTY,12163,1537,12.6,-11178.15,-0.92,1.0
NIFTY,5530,643,11.6,-1176.70,-0.21,0.9
