entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,ema5_at_entry,ema21_at_entry
2025-08-19,09:30:18,2025-08-19,09:30:30,24900.0,CE,202.0,197.05,-4.95,-2.45,0,trend_broken,201.64,197.54
2025-08-19,09:30:45,2025-08-19,09:30:46,24900.0,CE,196.6,196.4,-0.20,-0.10,0,trend_broken,196.86,196.43
2025-08-19,09:31:40,2025-08-19,09:31:41,24900.0,CE,195.75,195.6,-0.15,-0.08,0,trend_broken,196.21,195.85
2025-08-19,09:32:00,2025-08-19,09:32:05,24900.0,CE,198.15,196.75,-1.40,-0.71,0,trend_broken,197.88,197.03
2025-08-19,09:32:59,2025-08-19,09:33:19,24900.0,CE,194.5,192.5,-2.00,-1.03,0,trend_broken,194.04,192.81
2025-08-19,09:35:40,2025-08-19,09:35:43,24900.0,CE,192.05,190.2,-1.85,-0.96,0,trend_broken,192.88,191.81
2025-08-19,09:36:51,2025-08-19,09:36:53,24900.0,CE,187.4,186.55,-0.85,-0.45,0,trend_broken,187.19,186.92
2025-08-19,09:37:44,2025-08-19,09:37:49,24900.0,CE,187.85,185.6,-2.25,-1.20,0,trend_broken,187.23,186.50
2025-08-19,09:38:20,2025-08-19,09:42:55,24900.0,CE,185.05,184.45,-0.60,-0.32,4,trend_broken,185.17,184.60
2025-08-19,09:44:42,2025-08-19,09:44:43,24900.0,CE,179.55,179.5,-0.05,-0.03,0,trend_broken,179.73,179.62
2025-08-19,09:45:39,2025-08-19,09:45:41,24900.0,CE,177.7,176.8,-0.90,-0.51,0,trend_broken,177.61,177.35
2025-08-19,09:46:22,2025-08-19,09:51:23,24900.0,CE,181.95,192.9,10.95,6.02,5,time_stop,181.82,178.64
2025-08-19,09:51:43,2025-08-19,09:51:51,24900.0,CE,194.75,193.05,-1.70,-0.87,0,trend_broken,194.40,193.28
2025-08-19,09:51:56,2025-08-19,09:51:57,24900.0,CE,193.85,193.4,-0.45,-0.23,0,trend_broken,194.02,193.75
2025-08-19,09:53:08,2025-08-19,09:53:09,24900.0,CE,198.75,197.85,-0.90,-0.45,0,trend_broken,198.59,198.49
2025-08-19,09:53:44,2025-08-19,09:53:50,24900.0,CE,197.45,195.65,-1.80,-0.91,0,trend_broken,197.35,196.74
2025-08-19,09:54:55,2025-08-19,09:55:06,24900.0,CE,194.7,193.35,-1.35,-0.69,0,trend_broken,194.72,193.75
2025-08-19,09:57:09,2025-08-19,09:57:48,24900.0,CE,192.35,190.55,-1.80,-0.94,0,trend_broken,192.49,190.92
2025-08-19,09:57:55,2025-08-19,09:58:10,24900.0,CE,191.35,189.25,-2.10,-1.10,0,trend_broken,191.35,189.37
2025-08-19,09:58:42,2025-08-19,10:02:03,24900.0,CE,191.55,190.0,-1.55,-0.81,3,trend_broken,191.76,190.13
2025-08-19,10:03:02,2025-08-19,10:03:16,24900.0,CE,191.8,189.2,-2.60,-1.36,0,trend_broken,191.82,189.35
2025-08-19,10:04:12,2025-08-19,10:07:55,24900.0,CE,187.4,183.85,-3.55,-1.89,3,trend_broken,187.00,185.45
2025-08-19,10:09:42,2025-08-19,10:14:44,24900.0,CE,189.6,200.4,10.80,5.70,5,time_stop,188.75,183.35
2025-08-19,10:16:49,2025-08-19,10:21:50,24900.0,CE,194.0,203.85,9.85,5.08,5,time_stop,193.77,193.07
2025-08-19,10:22:13,2025-08-19,10:22:19,24950.0,CE,174.35,173.0,-1.35,-0.77,0,trend_broken,174.02,173.64
2025-08-19,10:25:10,2025-08-19,10:26:15,24900.0,CE,200.55,197.65,-2.90,-1.45,1,trend_broken,200.02,197.66
2025-08-19,10:26:49,2025-08-19,10:27:08,24900.0,CE,198.35,196.35,-2.00,-1.01,0,trend_broken,198.16,196.47
2025-08-19,10:29:02,2025-08-19,10:30:03,24900.0,CE,198.65,193.4,-5.25,-2.64,1,trend_broken,198.77,193.45
2025-08-19,10:30:14,2025-08-19,10:35:15,24900.0,CE,194.4,200.75,6.35,3.27,5,time_stop,193.96,193.84
2025-08-19,10:35:43,2025-08-19,10:35:51,24900.0,CE,198.35,196.75,-1.60,-0.81,0,trend_broken,197.77,196.86
2025-08-19,10:36:01,2025-08-19,10:36:03,24900.0,CE,196.3,195.3,-1.00,-0.51,0,trend_broken,196.11,195.73
2025-08-19,10:36:38,2025-08-19,10:37:24,24900.0,CE,191.95,190.85,-1.10,-0.57,0,trend_broken,191.92,191.42
2025-08-19,10:37:39,2025-08-19,10:38:43,24900.0,CE,191.0,189.6,-1.40,-0.73,1,trend_broken,190.89,189.79
2025-08-19,10:39:46,2025-08-19,10:41:12,24900.0,CE,193.65,191.15,-2.50,-1.29,1,trend_broken,193.68,191.39
2025-08-19,10:41:42,2025-08-19,10:46:43,24900.0,CE,192.95,203.0,10.05,5.21,5,time_stop,193.17,191.04
2025-08-19,10:46:47,2025-08-19,10:47:25,24950.0,CE,174.3,172.3,-2.00,-1.15,0,trend_broken,173.95,172.52
2025-08-19,10:47:29,2025-08-19,10:47:31,24950.0,CE,172.25,170.9,-1.35,-0.78,0,trend_broken,171.74,171.23
2025-08-19,10:50:23,2025-08-19,10:51:04,24950.0,CE,173.75,171.75,-2.00,-1.15,0,trend_broken,173.55,172.21
2025-08-19,10:57:18,2025-08-19,11:02:20,24900.0,CE,200.4,203.9,3.50,1.75,5,time_stop,200.06,195.16
2025-08-19,11:05:21,2025-08-19,11:10:25,24950.0,CE,173.55,179.1,5.55,3.20,5,time_stop,173.12,171.05
2025-08-19,11:12:21,2025-08-19,11:15:20,24950.0,CE,177.85,176.45,-1.40,-0.79,2,trend_broken,177.78,176.91
2025-08-19,11:17:43,2025-08-19,11:22:44,24950.0,CE,177.55,178.0,0.45,0.25,5,time_stop,177.59,174.82
2025-08-19,11:39:14,2025-08-19,11:40:29,24950.0,CE,185.95,183.0,-2.95,-1.59,1,trend_broken,185.52,183.08
2025-08-19,11:40:47,2025-08-19,11:45:48,24950.0,CE,182.35,186.85,4.50,2.47,5,time_stop,182.12,179.99
2025-08-19,11:46:24,2025-08-19,11:51:25,24950.0,CE,189.25,190.95,1.70,0.90,5,time_stop,188.78,185.99
2025-08-19,11:53:01,2025-08-19,11:53:06,24950.0,CE,190.2,189.15,-1.05,-0.55,0,trend_broken,190.14,189.34
2025-08-19,11:53:37,2025-08-19,11:58:38,24950.0,CE,189.25,189.55,0.30,0.16,5,time_stop,189.43,188.08
2025-08-19,11:59:27,2025-08-19,11:59:34,24950.0,CE,190.15,188.9,-1.25,-0.66,0,trend_broken,190.07,189.10
2025-08-19,12:02:27,2025-08-19,12:02:30,24950.0,CE,196.6,194.5,-2.10,-1.07,0,trend_broken,196.20,194.58
2025-08-19,12:03:54,2025-08-19,12:07:40,24950.0,CE,193.9,192.3,-1.60,-0.83,3,trend_broken,193.38,192.35
2025-08-19,12:09:27,2025-08-19,12:10:40,24950.0,CE,194.7,193.05,-1.65,-0.85,1,trend_broken,193.86,193.37
2025-08-19,12:13:09,2025-08-19,12:18:10,24950.0,CE,198.45,204.25,5.80,2.92,5,time_stop,198.40,196.87
2025-08-19,12:18:11,2025-08-19,12:23:12,25000.0,CE,175.45,182.85,7.40,4.22,5,time_stop,175.19,175.01
2025-08-19,12:25:36,2025-08-19,12:30:37,25000.0,CE,182.7,187.5,4.80,2.63,5,time_stop,182.42,180.37
2025-08-19,12:30:42,2025-08-19,12:33:05,25000.0,CE,188.75,187.45,-1.30,-0.69,2,trend_broken,188.32,187.62
2025-08-19,12:33:28,2025-08-19,12:38:29,25000.0,CE,188.25,192.45,4.20,2.23,5,time_stop,187.77,186.64
2025-08-19,12:39:22,2025-08-19,12:39:25,25000.0,CE,188.1,187.4,-0.70,-0.37,0,trend_broken,188.12,187.61
2025-08-19,12:40:17,2025-08-19,12:40:54,25000.0,CE,188.75,186.55,-2.20,-1.17,0,trend_broken,188.71,186.62
2025-08-19,12:41:07,2025-08-19,12:41:11,25000.0,CE,187.2,185.85,-1.35,-0.72,0,trend_broken,187.26,186.98
2025-08-19,12:42:16,2025-08-19,12:42:17,25000.0,CE,181.85,181.35,-0.50,-0.27,0,trend_broken,181.67,181.42
2025-08-19,12:43:25,2025-08-19,12:43:33,25000.0,CE,182.8,181.55,-1.25,-0.68,0,trend_broken,182.30,181.90
2025-08-19,12:43:52,2025-08-19,12:43:53,25000.0,CE,183.5,183.0,-0.50,-0.27,0,trend_broken,183.43,183.05
2025-08-19,12:44:21,2025-08-19,12:44:41,25000.0,CE,182.75,180.7,-2.05,-1.12,0,trend_broken,182.44,180.87
2025-08-19,12:45:23,2025-08-19,12:46:05,25000.0,CE,181.35,178.25,-3.10,-1.71,0,trend_broken,181.49,179.31
2025-08-19,12:46:23,2025-08-19,12:48:51,25000.0,CE,177.6,175.75,-1.85,-1.04,2,trend_broken,177.38,175.79
2025-08-19,12:49:47,2025-08-19,12:49:52,25000.0,CE,177.95,176.2,-1.75,-0.98,0,trend_broken,177.91,176.49
2025-08-19,12:50:21,2025-08-19,12:55:22,25000.0,CE,177.95,184.5,6.55,3.68,5,time_stop,177.55,177.08
2025-08-19,12:55:59,2025-08-19,12:58:53,25000.0,CE,184.35,183.6,-0.75,-0.41,2,trend_broken,184.60,183.61
2025-08-19,13:00:11,2025-08-19,13:00:25,25000.0,CE,181.95,181.1,-0.85,-0.47,0,trend_broken,181.86,181.23
2025-08-19,13:01:05,2025-08-19,13:02:33,25000.0,CE,179.2,176.4,-2.80,-1.56,1,trend_broken,179.21,176.45
2025-08-19,13:02:51,2025-08-19,13:02:55,25000.0,CE,178.5,178.0,-0.50,-0.28,0,trend_broken,178.63,178.13
2025-08-19,13:03:48,2025-08-19,13:03:59,25000.0,CE,177.4,176.55,-0.85,-0.48,0,trend_broken,177.19,176.94
2025-08-19,13:05:37,2025-08-19,13:06:49,25000.0,CE,181.5,178.8,-2.70,-1.49,1,trend_broken,181.46,179.11
2025-08-19,13:07:12,2025-08-19,13:09:40,25000.0,CE,179.2,176.35,-2.85,-1.59,2,trend_broken,179.17,177.22
2025-08-19,13:09:54,2025-08-19,13:14:55,25000.0,CE,175.5,177.6,2.10,1.20,5,time_stop,175.36,171.90
2025-08-19,13:15:56,2025-08-19,13:16:31,25000.0,CE,184.5,181.55,-2.95,-1.60,0,trend_broken,184.57,182.11
2025-08-19,13:17:39,2025-08-19,13:22:40,25000.0,CE,180.25,181.6,1.35,0.75,5,time_stop,180.37,176.72
2025-08-19,13:23:18,2025-08-19,13:25:16,25000.0,CE,181.9,177.45,-4.45,-2.45,1,trend_broken,181.37,177.49
2025-08-19,13:25:40,2025-08-19,13:27:16,25000.0,CE,178.35,176.85,-1.50,-0.84,1,trend_broken,178.28,177.03
2025-08-19,13:27:23,2025-08-19,13:28:53,25000.0,CE,176.95,174.55,-2.40,-1.36,1,trend_broken,176.50,175.01
2025-08-19,13:28:57,2025-08-19,13:32:16,25000.0,CE,174.7,171.0,-3.70,-2.12,3,trend_broken,174.59,171.42
2025-08-19,13:32:17,2025-08-19,13:32:21,25000.0,CE,171.35,170.55,-0.80,-0.47,0,trend_broken,171.36,171.13
2025-08-19,13:32:56,2025-08-19,13:34:01,25000.0,CE,169.7,167.8,-1.90,-1.12,1,trend_broken,169.38,168.16
2025-08-19,13:34:36,2025-08-19,13:39:38,24950.0,CE,195.7,194.6,-1.10,-0.56,5,time_stop,195.79,191.63
2025-08-19,13:40:52,2025-08-19,13:45:53,24950.0,CE,193.25,200.05,6.80,3.52,5,time_stop,192.98,190.63
2025-08-19,13:47:49,2025-08-19,13:51:12,24950.0,CE,194.45,192.85,-1.60,-0.82,3,trend_broken,194.08,193.37
2025-08-19,13:52:37,2025-08-19,13:52:53,24950.0,CE,190.65,187.8,-2.85,-1.49,0,trend_broken,190.61,188.99
2025-08-19,13:53:39,2025-08-19,13:56:51,24950.0,CE,189.85,187.25,-2.60,-1.37,3,trend_broken,189.66,187.47
2025-08-19,13:57:54,2025-08-19,14:00:08,24950.0,CE,186.9,184.65,-2.25,-1.20,2,trend_broken,186.56,185.04
2025-08-19,14:06:00,2025-08-19,14:06:47,24950.0,CE,181.0,178.05,-2.95,-1.63,0,trend_broken,180.65,178.74
2025-08-19,14:07:03,2025-08-19,14:07:08,24950.0,CE,174.0,172.05,-1.95,-1.12,0,trend_broken,174.45,172.37
2025-08-19,14:07:58,2025-08-19,14:07:59,24950.0,CE,177.5,176.75,-0.75,-0.42,0,trend_broken,177.26,176.83
2025-08-19,14:08:03,2025-08-19,14:08:19,24950.0,CE,177.05,176.6,-0.45,-0.25,0,trend_broken,177.06,176.90
2025-08-19,14:15:34,2025-08-19,14:16:05,24950.0,CE,180.55,176.85,-3.70,-2.05,0,trend_broken,180.06,177.38
2025-08-19,14:17:33,2025-08-19,14:22:34,24950.0,CE,182.9,190.6,7.70,4.21,5,time_stop,182.91,179.96
2025-08-19,14:23:10,2025-08-19,14:28:11,24950.0,CE,192.05,199.45,7.40,3.85,5,time_stop,191.91,190.88
2025-08-19,14:30:24,2025-08-19,14:35:25,24950.0,CE,197.9,204.55,6.65,3.36,5,time_stop,197.80,194.72
2025-08-19,14:35:42,2025-08-19,14:36:07,25000.0,CE,176.75,176.0,-0.75,-0.42,0,trend_broken,176.91,176.15
2025-08-19,14:36:52,2025-08-19,14:36:53,25000.0,CE,178.75,178.4,-0.35,-0.20,0,trend_broken,178.99,178.75
2025-08-19,14:38:04,2025-08-19,14:38:05,25000.0,CE,177.35,176.15,-1.20,-0.68,0,trend_broken,176.81,176.55
2025-08-19,14:38:17,2025-08-19,14:38:54,25000.0,CE,177.4,176.5,-0.90,-0.51,0,trend_broken,176.96,176.72
2025-08-19,14:39:12,2025-08-19,14:39:14,25000.0,CE,178.1,177.25,-0.85,-0.48,0,trend_broken,177.65,177.42
2025-08-19,14:40:12,2025-08-19,14:40:47,25000.0,CE,177.2,176.1,-1.10,-0.62,0,trend_broken,177.10,176.28
2025-08-19,14:40:48,2025-08-19,14:43:04,25000.0,CE,176.8,174.95,-1.85,-1.05,2,trend_broken,176.70,175.55
