entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,max_price
2025-08-19,12:00:16,2025-08-19,12:02:18,24950.0,PE,130.0,125.95,-4.05,-3.12,2,trail_stop,131.05
2025-08-19,12:02:22,2025-08-19,12:04:25,24950.0,PE,126.1,126.6,0.50,0.40,2,trail_stop,128.40
2025-08-19,12:04:26,2025-08-19,12:06:30,24950.0,PE,126.4,125.55,-0.85,-0.67,2,trail_stop,126.65
2025-08-19,12:06:33,2025-08-19,12:08:33,24950.0,PE,125.3,126.9,1.60,1.28,2,trail_stop,127.30
2025-08-19,12:08:37,2025-08-19,12:10:39,24950.0,CE,191.3,194.0,2.70,1.41,2,trail_stop,195.00
2025-08-19,12:10:40,2025-08-19,12:12:41,24950.0,CE,193.7,197.4,3.70,1.91,2,trail_stop,198.45
2025-08-19,12:12:42,2025-08-19,12:14:43,25050.0,CE,142.9,145.3,2.40,1.68,2,trail_stop,146.45
2025-08-19,12:14:44,2025-08-19,12:16:54,24950.0,PE,120.9,120.0,-0.90,-0.74,2,trail_stop,122.40
2025-08-19,12:16:55,2025-08-19,12:18:59,25000.0,PE,140.1,137.45,-2.65,-1.89,2,trail_stop,141.00
2025-08-19,12:19:00,2025-08-19,12:21:06,25000.0,PE,137.2,134.4,-2.80,-2.04,2,trail_stop,137.20
2025-08-19,12:21:13,2025-08-19,12:23:13,25000.0,PE,134.45,136.6,2.15,1.60,2,trail_stop,136.85
2025-08-19,12:23:14,2025-08-19,12:25:23,25000.0,CE,184.1,183.4,-0.70,-0.38,2,trail_stop,184.65
2025-08-19,12:25:25,2025-08-19,12:27:25,25000.0,PE,137.8,136.45,-1.35,-0.98,2,trail_stop,138.05
2025-08-19,12:27:26,2025-08-19,12:29:26,25000.0,CE,186.3,184.6,-1.70,-0.91,2,trail_stop,189.55
2025-08-19,12:29:30,2025-08-19,12:31:30,25000.0,CE,185.2,190.55,5.35,2.89,2,trail_stop,191.75
2025-08-19,12:31:31,2025-08-19,12:33:33,25000.0,CE,191.25,188.0,-3.25,-1.70,2,trail_stop,192.15
2025-08-19,12:33:36,2025-08-19,12:35:37,25000.0,PE,135.45,133.95,-1.50,-1.11,2,trail_stop,135.45
2025-08-19,12:35:40,2025-08-19,12:37:40,25000.0,CE,190.6,189.5,-1.10,-0.58,2,trail_stop,194.60
2025-08-19,12:37:42,2025-08-19,12:39:50,25000.0,PE,134.2,136.0,1.80,1.34,2,trail_stop,136.30
2025-08-19,12:39:55,2025-08-19,12:41:55,25000.0,CE,188.45,183.7,-4.75,-2.52,2,trail_stop,190.50
2025-08-19,12:42:07,2025-08-19,12:44:09,25000.0,PE,138.95,138.65,-0.30,-0.22,2,trail_stop,141.10
2025-08-19,12:44:11,2025-08-19,12:46:11,25000.0,CE,182.6,179.4,-3.20,-1.75,2,trail_stop,183.20
2025-08-19,12:46:15,2025-08-19,12:48:26,25000.0,CE,178.4,176.9,-1.50,-0.84,2,trail_stop,180.00
2025-08-19,12:48:28,2025-08-19,12:50:28,25000.0,PE,141.55,140.3,-1.25,-0.88,2,trail_stop,143.00
2025-08-19,12:50:34,2025-08-19,12:52:34,25000.0,CE,178.6,178.6,0.00,0.00,2,trail_stop,180.35
2025-08-19,12:52:39,2025-08-19,12:54:39,25000.0,PE,140.9,139.45,-1.45,-1.03,2,trail_stop,142.00
2025-08-19,12:54:41,2025-08-19,12:56:41,25000.0,PE,139.35,135.75,-3.60,-2.58,2,trail_stop,139.35
2025-08-19,12:56:43,2025-08-19,12:58:43,25000.0,PE,135.45,136.9,1.45,1.07,2,trail_stop,137.00
