underlying,trades,wins,win_rate_%,total_pnl,avg_pnl,avg_hold_minutes
BANKNIFTY,5666,2627,46.4,-4583.35,-0.81,2.7
NIFTY,2271,1044,46.0,-425.95,-0.19,2.6
