underlying,trades,wins,win_rate_%,total_pnl,avg_pnl,avg_hold_minutes
BANKNIFTY,69001,23662,34.3,286583.85,4.15,0.0
NIFTY,31352,11783,37.6,10433.35,0.33,0.0
