underlying,trades,wins,win_rate_%,total_pnl_after_costs,avg_pnl,avg_hold_minutes
BANKNIFTY,81,18,22.2,-154.75,-1.91,2.9
NIFTY,32,2,6.2,-106.45,-3.33,3.6
