/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:74: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:90: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
[OK] gamma_scalp in 34.2s
[OK] gamma_scalp in 34.6s
[OK] gamma_scalp in 34.3s
[OK] gamma_scalp in 35.6s
[OK] gamma_scalp in 33.3s
[OK] gamma_scalp in 33.4s
[OK] gamma_scalp in 36.2s
[OK] gamma_scalp in 33.1s
[OK] gamma_scalp in 34.0s
[OK] gamma_scalp in 33.1s
[OK] gamma_scalp in 34.2s
[OK] gamma_scalp in 35.3s
[OK] gamma_scalp in 36.9s
[OK] gamma_scalp in 33.9s
[OK] gamma_scalp in 36.2s
[OK] gamma_scalp in 35.3s
[OK] gamma_scalp in 33.0s
[OK] gamma_scalp in 34.4s
[OK] gamma_scalp in 30.7s
[OK] gamma_scalp in 33.5s
[OK] gamma_scalp in 31.4s
[OK] gamma_scalp in 32.0s
[OK] gamma_scalp in 33.2s
[OK] gamma_scalp in 32.6s
[OK] gamma_scalp in 32.6s
[OK] gamma_scalp in 33.2s
[OK] gamma_scalp in 30.6s
[OK] gamma_scalp in 30.3s
[OK] gamma_scalp in 34.8s
[OK] gamma_scalp in 34.4s
[OK] gamma_scalp in 34.8s
[OK] gamma_scalp in 32.7s
[OK] gamma_scalp in 35.7s
[OK] gamma_scalp in 34.3s
[OK] gamma_scalp in 34.1s
[OK] gamma_scalp in 29.2s
[OK] gamma_scalp in 30.9s
[OK] gamma_scalp in 32.9s
[OK] gamma_scalp in 31.1s
[OK] gamma_scalp in 32.8s
[OK] gamma_scalp in 29.6s
[OK] gamma_scalp in 29.7s
[OK] gamma_scalp in 29.5s
[OK] gamma_scalp in 32.7s
[OK] gamma_scalp in 31.6s
[OK] gamma_scalp in 30.7s
[OK] gamma_scalp in 30.3s
[OK] gamma_scalp in 29.2s
[OK] gamma_scalp in 30.2s
[OK] gamma_scalp in 28.5s
[OK] gamma_scalp in 29.6s
[OK] gamma_scalp in 29.7s
[OK] gamma_scalp in 30.1s
[OK] gamma_scalp in 30.1s
[OK] gamma_scalp in 29.6s
[OK] gamma_scalp in 30.9s
[OK] gamma_scalp in 31.7s
[OK] gamma_scalp in 31.4s
[OK] gamma_scalp in 30.4s
[OK] gamma_scalp in 31.7s
[OK] gamma_scalp in 31.2s
[OK] gamma_scalp in 32.2s
[OK] gamma_scalp in 30.8s
[OK] gamma_scalp in 31.4s
[OK] gamma_scalp in 32.5s
[OK] gamma_scalp in 29.2s
[OK] gamma_scalp in 29.9s
[OK] gamma_scalp in 30.0s
[OK] gamma_scalp in 30.7s
[OK] gamma_scalp in 32.5s
[OK] gamma_scalp in 30.2s
[OK] gamma_scalp in 27.8s
[OK] gamma_scalp in 27.6s
[OK] gamma_scalp in 28.1s
[OK] gamma_scalp in 27.4s
[OK] gamma_scalp in 27.4s
[OK] gamma_scalp in 28.4s
[OK] gamma_scalp in 25.8s
[OK] gamma_scalp in 27.1s
[OK] gamma_scalp in 25.8s
[OK] gamma_scalp in 26.2s
[OK] gamma_scalp in 25.3s
[OK] gamma_scalp in 26.3s
[OK] gamma_scalp in 25.6s
[OK] gamma_scalp in 25.5s
[OK] gamma_scalp in 26.3s
[OK] gamma_scalp in 25.6s
[OK] gamma_scalp in 24.7s
[OK] gamma_scalp in 26.6s
[OK] gamma_scalp in 24.7s
[OK] gamma_scalp in 26.0s
[OK] gamma_scalp in 16.7s
[OK] gamma_scalp in 23.1s
[OK] gamma_scalp in 25.5s
[OK] gamma_scalp in 24.8s
[OK] gamma_scalp in 22.9s
[OK] gamma_scalp in 26.0s
[OK] gamma_scalp in 24.2s
[OK] gamma_scalp in 25.6s
[OK] gamma_scalp in 25.5s
[OK] gamma_scalp in 25.7s
[OK] gamma_scalp in 23.5s
[OK] gamma_scalp in 24.2s
[OK] gamma_scalp in 25.0s
[OK] gamma_scalp in 26.2s
[OK] gamma_scalp in 26.5s
[OK] gamma_scalp in 26.8s
[OK] gamma_scalp in 24.1s
[OK] gamma_scalp in 27.8s
[OK] gamma_scalp in 26.7s
[OK] gamma_scalp in 25.9s
[OK] gamma_scalp in 25.7s
[OK] gamma_scalp in 23.6s
[OK] gamma_scalp in 26.5s
[OK] gamma_scalp in 27.6s
[OK] gamma_scalp in 29.5s
[OK] gamma_scalp in 25.1s
[OK] gamma_scalp in 29.4s
[OK] gamma_scalp in 28.0s
[OK] gamma_scalp in 30.0s
[OK] gamma_scalp in 28.9s
[OK] gamma_scalp in 30.2s
[OK] gamma_scalp in 30.1s
[OK] gamma_scalp in 26.7s
[OK] gamma_scalp in 29.9s
[OK] gamma_scalp in 28.2s
[OK] gamma_scalp in 29.1s
[OK] gamma_scalp in 28.0s
[OK] gamma_scalp in 27.8s
[OK] gamma_scalp in 38.0s
[OK] gamma_scalp in 39.0s
[OK] gamma_scalp in 43.1s
[OK] gamma_scalp in 39.9s
[OK] gamma_scalp in 41.9s
[OK] gamma_scalp in 41.0s
[OK] gamma_scalp in 40.6s
[OK] gamma_scalp in 43.7s
[OK] gamma_scalp in 40.5s
[OK] gamma_scalp in 41.4s
[OK] gamma_scalp in 39.3s
[OK] gamma_scalp in 43.2s
[OK] gamma_scalp in 41.6s
[OK] gamma_scalp in 38.6s
[OK] gamma_scalp in 36.6s
[OK] gamma_scalp in 39.9s
[OK] gamma_scalp in 37.6s
[OK] gamma_scalp in 43.9s
[OK] gamma_scalp in 37.9s
[OK] gamma_scalp in 39.5s
[OK] gamma_scalp in 42.3s
[OK] gamma_scalp in 36.1s
[OK] gamma_scalp in 36.2s
[OK] gamma_scalp in 37.4s
[OK] gamma_scalp in 36.2s
[OK] gamma_scalp in 35.8s
[OK] gamma_scalp in 38.0s
[OK] gamma_scalp in 39.0s
[OK] gamma_scalp in 39.3s
[OK] gamma_scalp in 40.0s
[OK] gamma_scalp in 35.5s
[OK] gamma_scalp in 35.8s
[OK] gamma_scalp in 17.4s
[OK] gamma_scalp in 17.6s
No trades.
No trades.
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-04-25.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-05-30.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-07-25.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-08-22.parquet
