symbol,hint,rows,nonnull_ts,nonnull_ratio,tmin,tmax,reasons,file
BANKNIFTY,banknifty19jun,39015,39015,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29500pe.parquet
BANKNIFTY,banknifty19jun,36931,36931,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29600ce.parquet
BANKNIFTY,banknifty19jun,39463,39463,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29600pe.parquet
BANKNIFTY,banknifty19jun,57556,57556,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:56.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29700ce.parquet
BANKNIFTY,banknifty19jun,40583,40583,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:42.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29700pe.parquet
BANKNIFTY,banknifty19jun,58110,58110,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29800ce.parquet
BANKNIFTY,banknifty19jun,40241,40241,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:46.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29800pe.parquet
BANKNIFTY,banknifty19jun,57034,57034,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29900ce.parquet
BANKNIFTY,banknifty19jun,41093,41093,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:54.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29900pe.parquet
BANKNIFTY,banknifty19jun,55661,55661,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30000ce.parquet
BANKNIFTY,banknifty19jun,57320,57320,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30000pe.parquet
BANKNIFTY,banknifty19jun,56281,56281,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30100ce.parquet
BANKNIFTY,banknifty19jun,54931,54931,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30100pe.parquet
BANKNIFTY,banknifty19jun,55440,55440,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30200ce.parquet
BANKNIFTY,banknifty19jun,57148,57148,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:56.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30200pe.parquet
BANKNIFTY,banknifty19jun,56900,56900,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30300ce.parquet
BANKNIFTY,banknifty19jun,56582,56582,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:53.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30300pe.parquet
BANKNIFTY,banknifty19jun,57102,57102,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30400ce.parquet
BANKNIFTY,banknifty19jun,57606,57606,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:56.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30400pe.parquet
BANKNIFTY,banknifty19jun,58992,58992,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30500ce.parquet
BANKNIFTY,banknifty19jun,60959,60959,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30500pe.parquet
BANKNIFTY,banknifty19jun,60058,60058,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30600ce.parquet
BANKNIFTY,banknifty19jun,60247,60247,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30600pe.parquet
BANKNIFTY,banknifty19jun,60679,60679,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30700ce.parquet
