entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:20:00,2025-08-19,10:50:00,24900.0,24900.0,194.3,143.65,201.8,122.3,13.850000000000023,90,time_limit
2025-08-19,13:00:00,2025-08-19,14:30:00,24950.0,25000.0,212.2,138.55,198.6,138.45,13.700000000000045,90,time_limit
2025-08-20,09:20:00,2025-08-20,10:50:00,24950.0,24950.0,160.95,135.55,201.55,107.45,-12.5,90,time_limit
2025-08-20,13:00:00,2025-08-20,14:30:00,25050.0,25050.0,166.4,124.7,164.25,121.05,5.800000000000011,90,time_limit
2025-08-21,09:20:00,2025-08-21,10:50:00,25100.0,25100.0,141.7,125.1,166.0,101.35,-0.5500000000000682,90,time_limit
2025-08-21,13:00:00,2025-08-21,14:30:00,25100.0,25100.0,152.65,102.5,155.35,94.25,5.550000000000011,90,time_limit
2025-08-22,09:20:00,2025-08-22,10:50:00,25000.0,25000.0,133.0,96.55,87.7,151.3,-9.449999999999989,90,time_limit
2025-08-22,13:00:00,2025-08-22,14:30:00,24900.0,24900.0,130.2,96.3,124.55,100.55,1.4000000000000057,90,time_limit
2025-08-25,09:20:00,2025-08-25,10:50:00,24900.0,24900.0,116.55,85.85,122.45,59.15,20.799999999999983,90,time_limit
2025-08-25,13:00:00,2025-08-25,14:30:00,25000.0,25000.0,89.05,72.5,78.05,80.75,2.75,90,time_limit
2025-08-26,09:20:00,2025-08-26,10:50:00,24850.0,24850.0,79.0,68.0,39.9,115.4,-8.300000000000011,90,time_limit
2025-08-26,13:00:00,2025-08-26,14:30:00,24800.0,24800.0,60.8,67.6,54.1,75.65,-1.3500000000000227,90,time_limit
2025-08-28,09:20:00,2025-08-28,10:50:00,24600.0,24600.0,42.1,62.15,79.3,23.45,1.5,90,time_limit
2025-08-28,13:00:00,2025-08-28,14:30:00,24600.0,24600.0,19.05,49.75,7.65,42.0,19.15,90,time_limit
2025-09-18,09:20:00,2025-09-18,10:50:00,25400.0,25400.0,206.4,114.8,222.4,104.4,-5.600000000000023,90,time_limit
2025-09-18,13:00:00,2025-09-18,14:30:00,25400.0,25400.0,193.25,121.8,180.95,129.75,4.350000000000023,90,time_limit
2025-09-19,09:20:00,2025-09-19,10:50:00,25400.0,25400.0,156.5,129.0,139.5,158.0,-12.0,90,time_limit
2025-09-19,13:00:00,2025-09-19,14:30:00,25300.0,25300.0,195.0,111.55,201.45,100.15,4.949999999999989,90,time_limit
2025-09-22,09:20:00,2025-09-22,10:50:00,25250.0,25250.0,182.4,102.1,213.0,83.85,-12.350000000000023,90,time_limit
2025-09-22,13:00:00,2025-09-22,14:29:59,25300.0,25300.0,169.4,103.5,142.35,121.5,9.049999999999955,89,time_limit
2025-09-23,09:20:00,2025-09-23,10:50:00,25200.0,25200.0,175.75,95.5,129.6,138.25,3.3999999999999773,90,time_limit
2025-09-23,13:00:00,2025-09-23,14:30:00,25200.0,25200.0,156.2,105.55,177.1,89.1,-4.449999999999989,90,time_limit
2025-09-24,09:20:00,2025-09-24,10:50:00,25100.0,25100.0,136.5,99.25,121.9,101.45,12.399999999999977,90,time_limit
2025-09-24,13:00:00,2025-09-24,14:30:00,25100.0,25100.0,139.95,81.2,133.35,81.95,5.849999999999966,90,time_limit
2025-09-25,09:20:00,2025-09-25,10:50:00,25050.0,25050.0,121.85,80.0,97.95,96.85,7.049999999999983,90,time_limit
2025-09-25,13:00:00,2025-09-25,14:30:00,25000.0,25000.0,113.5,83.15,98.5,91.25,6.900000000000006,90,time_limit
2025-09-26,09:20:00,2025-09-26,10:50:00,24800.0,24800.0,131.4,60.95,119.05,63.6,9.700000000000017,90,time_limit
2025-09-26,13:00:00,2025-09-26,14:30:00,24750.0,24750.0,130.1,54.0,64.55,133.65,-14.099999999999994,90,time_limit
2025-09-29,09:20:00,2025-09-29,10:50:00,24700.0,24700.0,96.25,62.1,131.6,34.2,-7.450000000000017,90,time_limit
2025-09-29,13:00:00,2025-09-29,14:30:00,24650.0,24650.0,80.85,55.3,130.0,26.75,-20.600000000000023,90,time_limit
2025-09-30,09:20:00,2025-09-30,10:50:00,24700.0,24700.0,67.4,39.4,19.6,110.0,-22.799999999999983,90,time_limit
2025-09-30,13:00:00,2025-09-30,14:30:00,24650.0,24650.0,40.9,31.9,8.55,44.75,19.5,90,time_limit
2025-10-16,09:20:00,2025-10-16,10:50:00,25400.0,25400.0,229.0,122.9,257.4,109.05,-14.550000000000011,90,time_limit
2025-10-16,13:00:00,2025-10-16,14:30:00,25500.0,25500.0,227.1,125.6,274.4,107.1,-28.80000000000001,90,time_limit
2025-10-17,09:20:00,2025-10-17,10:50:00,25550.0,25550.0,201.0,144.3,299.75,103.05,-57.5,90,time_limit
2025-10-17,13:00:00,2025-10-17,14:30:00,25700.0,25700.0,209.6,156.3,200.35,152.45,13.100000000000023,90,time_limit
2025-10-20,09:20:00,2025-10-20,10:50:00,25900.0,25900.0,178.7,123.5,173.25,143.5,-14.550000000000011,90,time_limit
2025-10-20,13:00:00,2025-10-20,14:30:00,25900.0,25900.0,166.4,132.55,131.95,157.1,9.900000000000091,90,time_limit
2025-10-23,09:20:00,2025-10-23,10:50:00,26000.0,26000.0,176.45,88.25,200.75,72.5,-8.550000000000011,90,time_limit
2025-10-23,13:00:00,2025-10-23,14:30:00,26050.0,26050.0,161.0,78.85,93.65,124.4,21.799999999999983,90,time_limit
2025-10-24,09:20:00,2025-10-24,10:50:00,25850.0,25850.0,139.8,78.5,113.3,95.75,9.25,90,time_limit
2025-10-24,13:00:00,2025-10-24,14:30:00,25800.0,25800.0,126.1,75.65,95.75,96.35,9.650000000000006,90,time_limit
2025-10-27,09:20:00,2025-10-27,10:50:00,25850.0,25850.0,120.85,51.1,199.6,32.3,-59.94999999999999,90,time_limit
2025-10-27,13:00:00,2025-10-27,14:30:00,25950.0,25950.0,122.95,52.0,114.5,39.85,20.599999999999994,90,time_limit
2025-10-28,09:20:00,2025-10-28,10:50:00,25950.0,25950.0,87.65,54.1,39.4,90.2,12.150000000000006,90,time_limit
2025-10-28,13:00:00,2025-10-28,14:29:59,25950.0,25950.0,42.45,40.05,3.55,117.15,-38.2,89,time_limit
2025-11-13,09:20:00,2025-11-13,10:50:00,25850.0,25850.0,241.4,166.05,311.6,121.5,-25.649999999999977,90,time_limit
2025-11-13,13:00:00,2025-11-13,14:30:00,25950.0,25950.0,259.0,155.65,225.5,179.85,9.299999999999955,90,time_limit
