date,anchor,expiry,strike,entry_prem,exit_prem,pnl,exit_reason,gross_rupees,fees_rupees,net_rupees
2025-03-03,12:00:00,2025-03-26,47900,2489.75,2614.75,125.0,target,3750.0,145.01222579999998,3604.9877742
2025-03-03,13:00:00,2025-03-26,48100,3866.05,3866.05,0.0,hour_end,0.0,216.90396203999998,-216.90396203999998
2025-03-03,15:00:00,2025-03-26,48100,3866.05,3866.05,0.0,hour_end,0.0,216.90396203999998,-216.90396203999998
2025-03-04,10:00:00,2025-03-26,48300,2294.1499999999996,2410.299999999994,116.14999999999418,target,3484.4999999998254,133.66109567999973,3350.838904319826
2025-03-04,11:00:00,2025-03-26,48300,2294.1499999999996,2410.3499999999967,116.19999999999709,target,3485.9999999999127,133.66322579999985,3352.3367741999127
2025-03-04,12:00:00,2025-03-26,48200,2313.75,2313.75,0.0,hour_end,0.0,129.812481,-129.812481
2025-03-04,13:00:00,2025-03-26,48200,2313.75,2313.75,0.0,hour_end,0.0,129.812481,-129.812481
2025-03-04,14:00:00,2025-03-26,48300,2294.1499999999996,2409.9500000000025,115.80000000000291,target,3474.0000000000873,133.64618484000007,3340.3538151600874
2025-03-04,15:00:00,2025-03-26,48200,2313.75,2431.699999999997,117.94999999999709,target,3538.4999999999127,134.83743407999987,3403.6625659199126
2025-03-05,10:00:00,2025-03-26,48600,2262.15,2375.65,113.5,target,3405.0,131.75284572,3273.24715428
2025-03-05,11:00:00,2025-03-26,48500,2276.25,2390.550000000003,114.30000000000291,target,3429.0000000000873,132.57800532000013,3296.421994680087
2025-03-05,12:00:00,2025-03-26,48600,2262.15,2262.15,0.0,hour_end,0.0,126.91747332,-126.91747332
2025-03-05,13:00:00,2025-03-26,48500,2276.25,2390.800000000003,114.55000000000291,target,3436.5000000000873,132.58865592000012,3303.911344080087
2025-03-05,14:00:00,2025-03-26,48500,2276.25,2276.25,0.0,hour_end,0.0,127.708551,-127.708551
2025-03-05,15:00:00,2025-03-26,48500,2276.25,2276.25,0.0,hour_end,0.0,127.708551,-127.708551
2025-03-06,10:00:00,2025-03-26,48400,2325.95,2442.7999999999984,116.84999999999854,target,3505.4999999999563,135.47504999999992,3370.0249499999563
2025-03-06,11:00:00,2025-03-26,48500,2314.1,2430.150000000003,116.05000000000291,target,3481.5000000000873,134.7761262000001,3346.7238738000874
2025-03-06,12:00:00,2025-03-26,48600,2292.4,2292.4,0.0,hour_end,0.0,128.61464352000002,-128.61464352000002
2025-03-06,13:00:00,2025-03-26,48600,2292.4,2292.4,0.0,hour_end,0.0,128.61464352000002,-128.61464352000002
2025-03-06,14:00:00,2025-03-26,48600,2292.4,2292.4,0.0,hour_end,0.0,128.61464352000002,-128.61464352000002
2025-03-06,15:00:00,2025-03-26,48600,2292.4,2292.4,0.0,hour_end,0.0,128.61464352000002,-128.61464352000002
2025-03-07,10:00:00,2025-03-26,48500,2312.25,2431.949999999997,119.69999999999709,target,3590.9999999999127,134.82783107999987,3456.172168919913
2025-03-07,11:00:00,2025-03-26,48600,2297.6,2418.650000000003,121.05000000000291,target,3631.5000000000873,134.06340900000012,3497.436591000087
2025-03-07,12:00:00,2025-03-26,48500,2312.25,2312.25,0.0,hour_end,0.0,129.7283238,-129.7283238
2025-03-07,13:00:00,2025-03-26,48500,2312.25,2312.25,0.0,hour_end,0.0,129.7283238,-129.7283238
2025-03-07,14:00:00,2025-03-26,48400,2332.85,2449.6,116.75,target,3502.5,135.85791288,3366.64208712
