strategy,trades,wins,win_rate_%,total_pnl,time_sec
BANKNIFTY_THETA_1_Morning_Harvest_0925_1130,81,42,51.9,-183.10,19.0
BANKNIFTY_THETA_2_Afternoon_Calm_1300_1510,162,119,73.5,938.65,18.7
BANKNIFTY_THETA_3_Breakout_Adaptive_0945_1500,81,42,51.9,534.25,18.7
NIFTY_THETA_1_Morning_Harvest_0925_1130,32,21,65.6,-14.45,6.4
NIFTY_THETA_2_Afternoon_Calm_1300_1510,64,39,60.9,52.70,5.9
NIFTY_THETA_3_Breakout_Adaptive_0945_1500,32,15,46.9,48.85,5.9
