entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:30:00,2025-08-19,15:24:59,25400.0,24400.0,30.7,28.1,33.75,18.05,58.8,51.8,7.0,354,time_limit
2025-08-20,09:30:00,2025-08-20,15:24:59,25450.0,24450.0,17.1,24.5,27.55,16.45,41.6,44.0,-2.3999999999999986,354,time_limit
2025-08-21,09:30:00,2025-08-21,15:24:59,25550.0,24550.0,16.1,17.0,10.45,10.8,33.1,21.25,11.850000000000001,354,time_limit
2025-08-22,09:30:00,2025-08-22,15:24:59,25500.0,24500.0,8.6,12.15,6.55,18.55,20.75,25.1,-4.350000000000001,354,time_limit
2025-08-25,09:30:00,2025-08-25,15:24:59,25450.0,24450.0,5.25,5.5,3.1,3.5,10.75,6.6,4.15,354,time_limit
2025-08-26,09:30:00,2025-08-26,15:24:59,25300.0,24300.0,3.5,4.3,2.7,4.5,7.8,7.2,0.5999999999999996,354,time_limit
2025-08-28,09:30:00,2025-08-28,15:24:58,25000.0,24050.0,3.25,1.7,0.1,0.05,4.95,0.15000000000000002,4.8,354,time_limit
2025-09-18,09:30:00,2025-09-18,15:24:59,25950.0,24900.0,24.6,24.9,22.4,21.15,49.5,43.55,5.950000000000003,354,time_limit
2025-09-19,09:30:00,2025-09-19,15:24:59,25850.0,24850.0,21.85,21.25,20.3,20.1,43.1,40.400000000000006,2.6999999999999957,354,time_limit
2025-09-22,09:30:00,2025-09-22,15:24:59,25800.0,24800.0,16.7,19.5,13.05,23.7,36.2,36.75,-0.5499999999999972,354,time_limit
2025-09-23,09:30:00,2025-09-23,15:24:59,25700.0,24600.0,14.2,12.75,12.25,9.1,26.95,21.35,5.599999999999998,354,time_limit
2025-09-24,09:30:00,2025-09-24,15:24:59,25550.0,24550.0,12.65,9.45,9.3,7.0,22.1,16.3,5.800000000000001,354,time_limit
2025-09-25,09:30:00,2025-09-25,15:24:59,25550.0,24550.0,7.5,7.0,4.5,10.25,14.5,14.75,-0.25,354,time_limit
2025-09-26,09:30:00,2025-09-26,15:24:59,25300.0,24300.0,6.7,5.05,4.55,10.05,11.75,14.600000000000001,-2.8500000000000014,354,time_limit
2025-09-29,09:30:00,2025-09-29,15:24:59,25200.0,24200.0,3.85,2.7,3.35,2.8,6.550000000000001,6.15,0.40000000000000036,354,time_limit
2025-09-30,09:30:00,2025-09-30,15:24:59,25150.0,24150.0,2.05,1.5,0.05,0.05,3.55,0.1,3.4499999999999997,354,time_limit
2025-10-16,09:30:00,2025-10-16,15:24:57,25950.0,24900.0,26.25,31.5,52.95,23.7,57.75,76.65,-18.900000000000006,354,time_limit
2025-10-17,09:30:00,2025-10-17,15:24:59,26100.0,25100.0,28.9,37.45,43.7,31.9,66.35,75.6,-9.25,354,time_limit
2025-10-20,09:30:00,2025-10-20,15:24:59,26400.0,25350.0,19.7,26.9,14.95,17.85,46.599999999999994,32.8,13.799999999999997,354,time_limit
2025-10-23,09:30:00,2025-10-23,15:24:59,26600.0,25550.0,10.45,15.75,4.05,17.85,26.2,21.900000000000002,4.299999999999997,354,time_limit
2025-10-24,09:30:00,2025-10-24,15:24:59,26400.0,25350.0,8.15,8.9,6.4,6.95,17.05,13.350000000000001,3.6999999999999993,354,time_limit
2025-10-27,09:30:00,2025-10-27,15:24:59,26400.0,25350.0,4.2,4.4,4.4,4.5,8.600000000000001,8.9,-0.29999999999999893,354,time_limit
2025-10-28,09:30:00,2025-10-28,15:24:59,26500.0,25450.0,1.75,2.15,0.05,0.1,3.9,0.15000000000000002,3.75,354,time_limit
2025-11-13,09:30:00,2025-11-13,15:24:58,26400.0,25350.0,52.85,42.65,55.55,47.15,95.5,102.69999999999999,-7.199999999999989,354,time_limit
2025-11-14,09:30:00,2025-11-14,15:24:59,26350.0,25300.0,55.5,40.3,61.65,30.6,95.8,92.25,3.549999999999997,354,time_limit
2025-11-17,09:30:00,2025-11-17,15:24:59,26500.0,25450.0,35.65,31.2,32.25,24.5,66.85,56.75,10.099999999999994,354,time_limit
2025-11-18,09:30:00,2025-11-18,15:24:59,26500.0,25450.0,24.2,28.8,15.5,27.65,53.0,43.15,9.850000000000001,354,time_limit
2025-11-19,09:30:00,2025-11-19,15:24:59,26400.0,25400.0,18.5,20.0,31.55,12.8,38.5,44.35,-5.850000000000001,354,time_limit
2025-11-20,09:30:00,2025-11-20,15:24:59,26650.0,25600.0,7.45,15.1,10.4,8.3,22.55,18.700000000000003,3.849999999999998,354,time_limit
2025-11-21,09:30:00,2025-11-21,15:24:59,26700.0,25650.0,4.4,9.55,2.55,10.8,13.950000000000001,13.350000000000001,0.5999999999999996,354,time_limit
2025-11-24,09:30:00,2025-11-24,15:24:59,26650.0,25600.0,1.8,2.85,1.85,3.3,4.65,5.15,-0.5,354,time_limit
2025-11-25,09:30:00,2025-11-25,15:24:59,26450.0,25450.0,1.75,1.25,0.1,0.05,3.0,0.15000000000000002,2.85,354,time_limit
