entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-19,13:00:00,2025-08-19,15:24:59,24950.0,25000.0,212.2,138.55,202.1,131.1,350.75,333.2,17.55000000000001,144,time_limit
2025-08-20,13:00:00,2025-08-20,15:24:59,25050.0,25050.0,166.4,124.7,158.85,124.5,291.1,283.35,7.75,144,time_limit
2025-08-21,13:00:00,2025-08-21,15:24:59,25100.0,25100.0,152.65,102.5,129.8,109.55,255.15,239.35000000000002,15.799999999999983,144,time_limit
2025-08-22,13:00:00,2025-08-22,15:24:59,24900.0,24900.0,130.2,96.3,115.1,113.75,226.5,228.85,-2.3499999999999943,144,time_limit
2025-08-25,13:00:00,2025-08-25,15:24:59,25000.0,25000.0,89.05,72.5,76.15,77.45,161.55,153.60000000000002,7.949999999999989,144,time_limit
2025-08-26,13:00:00,2025-08-26,15:24:59,24800.0,24800.0,60.8,67.6,42.0,111.95,128.39999999999998,153.95,-25.55000000000001,144,time_limit
2025-08-28,13:00:00,2025-08-28,15:24:59,24600.0,24600.0,19.05,49.75,0.15,97.25,68.8,97.4,-28.60000000000001,144,time_limit
2025-09-18,13:00:00,2025-09-18,15:24:59,25400.0,25400.0,193.25,121.8,214.05,99.25,315.05,313.3,1.75,144,time_limit
2025-09-19,13:00:00,2025-09-19,15:24:59,25300.0,25300.0,195.0,111.55,210.45,91.05,306.55,301.5,5.050000000000011,144,time_limit
2025-09-22,13:00:00,2025-09-22,15:24:58,25300.0,25300.0,169.4,103.5,125.5,142.85,272.9,268.35,4.5499999999999545,144,time_limit
2025-09-23,13:00:00,2025-09-23,15:24:59,25200.0,25200.0,156.2,105.55,152.05,97.9,261.75,249.95000000000002,11.799999999999983,144,time_limit
2025-09-24,13:00:00,2025-09-24,15:24:59,25100.0,25100.0,139.95,81.2,113.45,97.4,221.14999999999998,210.85000000000002,10.299999999999955,144,time_limit
2025-09-25,13:00:00,2025-09-25,15:24:59,25000.0,25000.0,113.5,83.15,80.55,111.65,196.65,192.2,4.450000000000017,144,time_limit
2025-09-26,13:00:00,2025-09-26,15:24:59,24750.0,24750.0,130.1,54.0,63.35,116.45,184.1,179.8,4.299999999999983,144,time_limit
2025-09-29,13:00:00,2025-09-29,15:24:59,24650.0,24650.0,80.85,55.3,80.65,37.45,136.14999999999998,118.10000000000001,18.04999999999997,144,time_limit
2025-09-30,13:00:00,2025-09-30,15:24:59,24650.0,24650.0,40.9,31.9,0.05,38.75,72.8,38.8,34.0,144,time_limit
2025-10-16,13:00:00,2025-10-16,15:24:58,25500.0,25500.0,227.1,125.6,260.45,108.9,352.7,369.35,-16.650000000000034,144,time_limit
2025-10-17,13:00:00,2025-10-17,15:24:59,25700.0,25700.0,209.6,156.3,204.45,145.0,365.9,349.45,16.44999999999999,144,time_limit
2025-10-20,13:00:00,2025-10-20,15:24:59,25900.0,25900.0,166.4,132.55,155.0,127.3,298.95000000000005,282.3,16.650000000000034,144,time_limit
2025-10-23,13:00:00,2025-10-23,15:24:59,26050.0,26050.0,161.0,78.85,75.1,161.6,239.85,236.7,3.1500000000000057,144,time_limit
2025-10-24,13:00:00,2025-10-24,15:24:59,25800.0,25800.0,126.1,75.65,98.85,89.3,201.75,188.14999999999998,13.600000000000023,144,time_limit
2025-10-27,13:00:00,2025-10-27,15:24:59,25950.0,25950.0,122.95,52.0,108.45,43.65,174.95,152.1,22.849999999999994,144,time_limit
2025-10-28,13:00:00,2025-10-28,15:24:59,25950.0,25950.0,42.45,40.05,0.1,14.0,82.5,14.1,68.4,144,time_limit
2025-11-13,13:00:00,2025-11-13,15:24:59,25950.0,25950.0,259.0,155.65,212.6,200.95,414.65,413.54999999999995,1.1000000000000227,144,time_limit
2025-11-14,13:00:00,2025-11-14,15:24:59,25800.0,25800.0,250.8,158.7,296.75,120.05,409.5,416.8,-7.300000000000011,144,time_limit
2025-11-17,13:00:00,2025-11-17,15:24:59,26000.0,26000.0,205.0,142.15,201.9,141.5,347.15,343.4,3.75,144,time_limit
2025-11-18,13:00:00,2025-11-18,15:24:59,25950.0,25950.0,179.25,154.15,158.1,158.95,333.4,317.04999999999995,16.350000000000023,144,time_limit
2025-11-19,13:00:00,2025-11-19,15:24:59,26000.0,26000.0,167.8,122.95,181.75,114.9,290.75,296.65,-5.899999999999977,144,time_limit
2025-11-20,13:00:00,2025-11-20,15:24:59,26150.0,26150.0,138.7,103.75,166.15,82.8,242.45,248.95,-6.5,144,time_limit
2025-11-21,13:00:00,2025-11-21,15:24:58,26150.0,26150.0,124.6,86.1,69.0,144.5,210.7,213.5,-2.8000000000000114,144,time_limit
2025-11-24,13:00:00,2025-11-24,15:24:59,26100.0,26100.0,74.55,68.2,26.25,144.6,142.75,170.85,-28.099999999999994,144,time_limit
2025-11-25,13:00:00,2025-11-25,15:24:59,26000.0,26000.0,25.45,42.85,0.05,114.8,68.3,114.85,-46.55,144,time_limit
